Check Type,Status,Count,Violations
Type Check,Failed,2,"server_client.py:156: error: Argument 1 to ""join"" of ""str"" has incompatible type ""object""; expected ""Iterable[str]""  [arg-type]; Found 1 error in 1 file (checked 3 source files)"
Lint Check,Failed,57,"./app.py:1:1: F403 'from tkinter import *' used; unable to detect undefined names; ./app.py:5:10: F405 'Tk' may be undefined, or defined from star imports: tkinter; ./app.py:5:14: W291 trailing whitespace; ./app.py:9:1: W293 blank line contains whitespace; ./app.py:15:1: W293 blank line contains whitespace; ./app.py:20:1: E302 expected 2 blank lines, found 1; ./app.py:22:7: E275 missing whitespace after keyword; ./app.py:22:12: E225 missing whitespace around operator; ./app.py:24:1: W293 blank line contains whitespace; ./app.py:27:1: E302 expected 2 blank lines, found 1; ./app.py:29:5: F824 `global timr` is unused: name is never assigned in scope; ./app.py:31:12: E225 missing whitespace around operator; ./app.py:33:11: E275 missing whitespace after keyword; ./app.py:33:27: E225 missing whitespace around operator; ./app.py:34:14: E225 missing whitespace around operator; ./app.py:35:1: W293 blank line contains whitespace; ./app.py:36:21: F405 'END' may be undefined, or defined from star imports: tkinter; ./app.py:39:18: F405 'Label' may be undefined, or defined from star imports: tkinter; ./app.py:41:18: F405 'Label' may be undefined, or defined from star imports: tkinter; ./app.py:43:10: W291 trailing whitespace; ./app.py:44:80: E501 line too long (93 > 79 characters); ./app.py:46:1: E302 expected 2 blank lines, found 1; ./app.py:49:13: F405 'Label' may be undefined, or defined from star imports: tkinter; ./app.py:51:13: F405 'Label' may be undefined, or defined from star imports: tkinter; ./app.py:53:13: E225 missing whitespace around operator; ./app.py:54:13: E225 missing whitespace around operator; ./app.py:57:1: W293 blank line contains whitespace; ./app.py:59:80: E501 line too long (98 > 79 characters); ./app.py:62:7: F405 'Label' may be undefined, or defined from star imports: tkinter; ./app.py:62:80: E501 line too long (96 > 79 characters); ./app.py:64:8: F405 'Label' may be undefined, or defined from star imports: tkinter; ./app.py:67:5: F405 'Entry' may be undefined, or defined from star imports: tkinter; ./app.py:70:8: F405 'Label' may be undefined, or defined from star imports: tkinter; ./app.py:75:18: W292 no newline at end of file; ./completion_summary.py:5:1: E302 expected 2 blank lines, found 1; ./completion_summary.py:17:80: E501 line too long (108 > 79 characters); ./completion_summary.py:28:80: E501 line too long (98 > 79 characters); ./completion_summary.py:28:99: W292 no newline at end of file; ./server_client.py:10:80: E501 line too long (94 > 79 characters); ./server_client.py:14:42: W291 trailing whitespace; ./server_client.py:67:80: E501 line too long (83 > 79 characters); ./server_client.py:73:80: E501 line too long (99 > 79 characters); ./server_client.py:75:80: E501 line too long (88 > 79 characters); ./server_client.py:99:80: E501 line too long (84 > 79 characters); ./server_client.py:101:80: E501 line too long (90 > 79 characters); ./server_client.py:103:80: E501 line too long (86 > 79 characters); ./server_client.py:125:80: E501 line too long (136 > 79 characters); ./server_client.py:135:80: E501 line too long (91 > 79 characters); ./server_client.py:141:80: E501 line too long (112 > 79 characters); ./server_client.py:156:80: E501 line too long (122 > 79 characters); ./server_client.py:159:80: E501 line too long (104 > 79 characters); ./server_client.py:207:80: E501 line too long (90 > 79 characters); ./server_client.py:217:80: E501 line too long (91 > 79 characters); ./server_client.py:226:80: E501 line too long (84 > 79 characters); ./server_client.py:229:80: E501 line too long (98 > 79 characters); ./server_client.py:237:1: E402 module level import not at top of file; ./server_client.py:238:26: W291 trailing whitespace"
Code Style Check,Failed,45,".\app.py:5:14: W291 trailing whitespace; .\app.py:9:1: W293 blank line contains whitespace; .\app.py:15:1: W293 blank line contains whitespace; .\app.py:20:1: E302 expected 2 blank lines, found 1; .\app.py:22:7: E275 missing whitespace after keyword; .\app.py:22:12: E225 missing whitespace around operator; .\app.py:24:1: W293 blank line contains whitespace; .\app.py:27:1: E302 expected 2 blank lines, found 1; .\app.py:31:12: E225 missing whitespace around operator; .\app.py:33:11: E275 missing whitespace after keyword; .\app.py:33:27: E225 missing whitespace around operator; .\app.py:34:14: E225 missing whitespace around operator; .\app.py:35:1: W293 blank line contains whitespace; .\app.py:43:10: W291 trailing whitespace; .\app.py:44:80: E501 line too long (93 > 79 characters); .\app.py:46:1: E302 expected 2 blank lines, found 1; .\app.py:53:13: E225 missing whitespace around operator; .\app.py:54:13: E225 missing whitespace around operator; .\app.py:57:1: W293 blank line contains whitespace; .\app.py:59:80: E501 line too long (98 > 79 characters); .\app.py:62:80: E501 line too long (96 > 79 characters); .\app.py:75:18: W292 no newline at end of file; .\completion_summary.py:5:1: E302 expected 2 blank lines, found 1; .\completion_summary.py:17:80: E501 line too long (108 > 79 characters); .\completion_summary.py:28:80: E501 line too long (98 > 79 characters); .\completion_summary.py:28:99: W292 no newline at end of file; .\server_client.py:10:80: E501 line too long (94 > 79 characters); .\server_client.py:14:42: W291 trailing whitespace; .\server_client.py:67:80: E501 line too long (83 > 79 characters); .\server_client.py:73:80: E501 line too long (99 > 79 characters); .\server_client.py:75:80: E501 line too long (88 > 79 characters); .\server_client.py:99:80: E501 line too long (84 > 79 characters); .\server_client.py:101:80: E501 line too long (90 > 79 characters); .\server_client.py:103:80: E501 line too long (86 > 79 characters); .\server_client.py:125:80: E501 line too long (136 > 79 characters); .\server_client.py:135:80: E501 line too long (91 > 79 characters); .\server_client.py:141:80: E501 line too long (112 > 79 characters); .\server_client.py:156:80: E501 line too long (122 > 79 characters); .\server_client.py:159:80: E501 line too long (104 > 79 characters); .\server_client.py:207:80: E501 line too long (90 > 79 characters); .\server_client.py:217:80: E501 line too long (91 > 79 characters); .\server_client.py:226:80: E501 line too long (84 > 79 characters); .\server_client.py:229:80: E501 line too long (98 > 79 characters); .\server_client.py:237:1: E402 module level import not at top of file; .\server_client.py:238:26: W291 trailing whitespace"
Formatting Check,Failed,5,would reformat C:\Users\localadmin\Python Project\checks\completion_summary.py; would reformat C:\Users\localadmin\Python Project\checks\app.py; would reformat C:\Users\localadmin\Python Project\checks\server_client.py; Oh no! \U0001f4a5 \U0001f494 \U0001f4a5; 3 files would be reformatted.
Docstring Check,Failed,3,start missing docstring; nxtcolor missing docstring; countdown missing docstring
Type Hint Check,Failed,4,start missing type hint for e; start missing return type hint; nxtcolor missing return type hint; countdown missing return type hint
Dependency Check,Failed,1,requirements.txt not found for dependency analysis
Test Cases Pipeline,Passed,1,"{""error"": ""No tests folder found""}"
Client Type Check,Failed,1,mypy: can't read file 'client': No such file or directory
Client Lint Check,Failed,1,./client:0:1: E902 FileNotFoundError: [Errno 2] No such file or directory: './client'
Client Code Style Check,Failed,1,./client:1:1: E902 FileNotFoundError: [Errno 2] No such file or directory: './client'
Client Formatting Check,Failed,3,Usage: black [OPTIONS] SRC ...; Try 'black -h' for help.; Error: Invalid value for 'SRC ...': Path './client' does not exist.
UI Test Pipeline,Failed,1,"{""tool"": ""UI Tests"", ""status"": ""Error"", ""error"": ""[WinError 2] The system cannot find the file specified""}"
